"Self Certification Test Report"
"Service\Protocol Name","Total","Failed","Passed"
"GenericTest\EFICompliantTest","35","20","15"
"BootServicesTest\EventTimerandPriorityServicesTest","34","1","33"
"BootServicesTest\MemoryAllocationServicesTest","102","0","102"
"BootServicesTest\ProtocolHandlerServicesTest","1216","0","1216"
"BootServicesTest\ImageServicesTest","125","0","125"
"BootServicesTest\MiscBootServicesTest","132","12","120"
"RuntimeServicesTest\VariableServicesTest","57","6","51"
"RuntimeServicesTest\TimeServicesTest","41","7","34"
"RuntimeServicesTest\MiscRuntimeServicesTest","12","6","6"
"LoadedImageProtocolTest","2647","0","2647"
"DevicePathProcotols\DevicePathProcotolTest","54","0","54"
"DevicePathProcotols\DevicePathUtilitiesProcotolTest","21","0","21"
"DevicePathProcotols\DevicePathToTextProcotolTest","55","0","55"
"DevicePathProcotols\DevicePathFromTextProcotolTest","62","0","62"
"DriverModelTest\DriverDiagnostics2ProtocolTest","7","0","7"
"DriverModelTest\ComponentName2ProtocolTest","249","0","249"
"ConsoleSupportTest\SimpleTextInputExProtocolTest","22","0","22"
"ConsoleSupportTest\SimpleInputProtocolTest","8","0","8"
"ConsoleSupportTest\SimpleOutputProtocolTest","128","0","128"
"ConsoleSupportTest\SimplePointerProtocolTest","6","0","6"
"ConsoleSupportTest\SerialIOProtocolTest","18","8","10"
"ConsoleSupportTest\AbsolutePointerProtocolTest","6","0","6"
"MediaAccessTest\SimpleFileSystemProtocolTest","646","1","645"
"MediaAccessTest\DiskIOProtocolTest","30","0","30"
"MediaAccessTest\DiskIO2ProtocolTest","33","1","32"
"MediaAccessTest\BlockIOProtocolTest","54","0","54"
"MediaAccessTest\BlockIO2ProtocolTest","20","0","20"
"MediaAccessTest\StorageSecurityCommandProtocolTest","6","0","6"
"MediaAccessTest\NVMEPassThruTest","16","0","16"
"MediaAccessTest\PartitionInfo","7","0","7"
"StringServiceTest\UnicodeCollation2ProtocolTest","12","0","12"
"PCIBusSupportTest\PCIRootBridgeIOProtocolTest","45","0","45"
"PCIBusSupportTest\PCIIOProtocolTest","148","0","148"
"CompressionTest\DecompressProtocolTest","12","0","12"
"ResetNotificationProtocolTest","8","1","7"
"HIITest\HIIDatabaseProtocolTest","50","0","50"
"HIITest\HIIStringProtocolTest","36","0","36"
"HIITest\HIIImageProtocolTest","26","0","26"
"HIITest\HIIImageExProtocolTest","30","0","30"
"HIITest\HIIFontProtocolTest","15","0","15"
"HIITest\HIIConfigRoutingProtocolTest","26","1","25"
"HIITest\ConfigKeywordHandlerTest","21","0","21"
"Total service\Protocol","6278","64","6214"

"Service\Protocol Name","Index","Instance","Iteration","Guid","Result","Title","Runtime Information","Case Revision","Case GUID","Device Path","Logfile Name"
"LoadedImageProtocolTest","5.3.1.1.17","121","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC40488, ImageBase is 0x7DC40000, ImageSize is 0x7700","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","122","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","122","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","122","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DC3D000, LoadedImage->ImageSize is 0x2EC0","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","122","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","122","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC3D43E, ImageBase is 0x7DC3D000, ImageSize is 0x2EC0","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","123","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","123","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","123","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DC31000, LoadedImage->ImageSize is 0xAA80","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","123","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","123","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC3144C, ImageBase is 0x7DC31000, ImageSize is 0xAA80","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","124","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","124","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","124","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DC22000, LoadedImage->ImageSize is 0xE380","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","124","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","124","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC224A2, ImageBase is 0x7DC22000, ImageSize is 0xE380","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","125","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","125","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","125","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DC20000, LoadedImage->ImageSize is 0x2000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","125","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","125","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC2044C, ImageBase is 0x7DC20000, ImageSize is 0x2000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","126","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","126","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","126","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DC1B000, LoadedImage->ImageSize is 0x5000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","126","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","126","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC1B44C, ImageBase is 0x7DC1B000, ImageSize is 0x5000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","127","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","127","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","127","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DC16000, LoadedImage->ImageSize is 0x4B00","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","127","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","127","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC1644C, ImageBase is 0x7DC16000, ImageSize is 0x4B00","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","128","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","128","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","128","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DC14000, LoadedImage->ImageSize is 0x1B00","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","128","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","128","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC14482, ImageBase is 0x7DC14000, ImageSize is 0x1B00","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","129","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","129","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","129","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DC0A000, LoadedImage->ImageSize is 0x9480","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","129","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","129","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DC0A43E, ImageBase is 0x7DC0A000, ImageSize is 0x9480","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","130","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","130","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","130","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DBF8000, LoadedImage->ImageSize is 0x11BC0","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","130","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","130","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DBF845E, ImageBase is 0x7DBF8000, ImageSize is 0x11BC0","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","131","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","131","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","131","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DBEF000, LoadedImage->ImageSize is 0x8F00","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","131","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","131","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DBEF45E, ImageBase is 0x7DBEF000, ImageSize is 0x8F00","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","132","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.14","132","0","0CAAE7F5-0742-458F-BF02-652D33A4F1AB","PASS","LOADED_IMAGE - System table is not NULL","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:883: LoadedImage->SystemTable is 0x7FBC9018, gtST is 0x7FBC9018","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.15","132","0","A7BC2E01-3162-482C-A68B-939D0CF79A45","PASS","LOADED_IMAGE - ImageBase is not NULL and ImageSize is not 0","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:903: LoadedImage->ImageBase is 0x7DBEC000, LoadedImage->ImageSize is 0x2400","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.16","132","0","A3ADA89A-EF4E-475B-BC53-0098D5C65BEE","PASS","LOADED_IMAGE - ImageCodeType matches with the ImageDataType.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:947: LoadedImage->ImageCodeType is 3, LoadedImage->ImageDataType is 4","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.17","132","0","DA215E1D-5AC8-480A-A79E-A066B9745865","PASS","LOADED_IMAGE - If Unload() function is not NULL, its address is valid.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:975: Unload is 0x7DBEC44C, ImageBase is 0x7DBEC000, ImageSize is 0x2400","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
"LoadedImageProtocolTest","5.3.1.1.18","133","0","E2F6C4A6-E2A8-4BAB-94BB-704454D62AEA","PASS","LOADED_IMAGE - Revision equals EFI_IMAGE_INFORMATION_REVISION.","/home/user/SctPkg/TestCase/UEFI/EFI/Protocol/LoadedImage/BlackBoxTest/LoadedImageBBTestMain.c:863: Revision: 0x1000, expected: 0x1000","0x00010000","524114F0-FB32-494B-814D-9597059EE5C5"
